2023-03-29 20:21:56,414 - __main__ - INFO - Testing for participant 1.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,437 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,447 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,068 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:26:13,034 - brainiak.fcma.voxelselector - INFO - in rank 1, task 191 takes 1.26 s
2023-03-29 20:26:14,297 - brainiak.fcma.voxelselector - INFO - in rank 1, task 192 takes 1.26 s
2023-03-29 20:26:15,560 - brainiak.fcma.voxelselector - INFO - in rank 1, task 193 takes 1.26 s
2023-03-29 20:26:16,821 - brainiak.fcma.voxelselector - INFO - in rank 1, task 194 takes 1.26 s
2023-03-29 20:26:18,080 - brainiak.fcma.voxelselector - INFO - in rank 1, task 195 takes 1.26 s
2023-03-29 20:26:19,339 - brainiak.fcma.voxelselector - INFO - in rank 1, task 196 takes 1.26 s
2023-03-29 20:26:20,600 - brainiak.fcma.voxelselector - INFO - in rank 1, task 197 takes 1.26 s
2023-03-29 20:26:21,860 - brainiak.fcma.voxelselector - INFO - in rank 1, task 198 takes 1.26 s
2023-03-29 20:26:23,120 - brainiak.fcma.voxelselector - INFO - in rank 1, task 199 takes 1.26 s
2023-03-29 20:26:24,382 - brainiak.fcma.voxelselector - INFO - in rank 1, task 200 takes 1.26 s
2023-03-29 20:26:25,644 - brainiak.fcma.voxelselector - INFO - in rank 1, task 201 takes 1.26 s
2023-03-29 20:26:26,904 - brainiak.fcma.voxelselector - INFO - in rank 1, task 202 takes 1.26 s
2023-03-29 20:26:28,164 - brainiak.fcma.voxelselector - INFO - in rank 1, task 203 takes 1.26 s
2023-03-29 20:26:29,426 - brainiak.fcma.voxelselector - INFO - in rank 1, task 204 takes 1.26 s
2023-03-29 20:26:30,688 - brainiak.fcma.voxelselector - INFO - in rank 1, task 205 takes 1.26 s
2023-03-29 20:26:31,949 - brainiak.fcma.voxelselector - INFO - in rank 1, task 206 takes 1.26 s
2023-03-29 20:26:33,210 - brainiak.fcma.voxelselector - INFO - in rank 1, task 207 takes 1.26 s
2023-03-29 20:26:34,471 - brainiak.fcma.voxelselector - INFO - in rank 1, task 208 takes 1.26 s
2023-03-29 20:26:35,743 - brainiak.fcma.voxelselector - INFO - in rank 1, task 209 takes 1.27 s
2023-03-29 20:26:37,003 - brainiak.fcma.voxelselector - INFO - in rank 1, task 210 takes 1.26 s
2023-03-29 20:26:38,260 - brainiak.fcma.voxelselector - INFO - in rank 1, task 211 takes 1.26 s
2023-03-29 20:26:39,521 - brainiak.fcma.voxelselector - INFO - in rank 1, task 212 takes 1.26 s
2023-03-29 20:26:40,779 - brainiak.fcma.voxelselector - INFO - in rank 1, task 213 takes 1.26 s
2023-03-29 20:26:42,040 - brainiak.fcma.voxelselector - INFO - in rank 1, task 214 takes 1.26 s
2023-03-29 20:26:43,300 - brainiak.fcma.voxelselector - INFO - in rank 1, task 215 takes 1.26 s
