2023-03-29 20:21:22,147 - __main__ - INFO - Testing for participant 0.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,179 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,189 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:21:22,151 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:27:55,876 - brainiak.fcma.voxelselector - INFO - in rank 1, task 211 takes 1.80 s
2023-03-29 20:27:57,680 - brainiak.fcma.voxelselector - INFO - in rank 1, task 212 takes 1.80 s
2023-03-29 20:27:59,500 - brainiak.fcma.voxelselector - INFO - in rank 1, task 213 takes 1.82 s
2023-03-29 20:28:01,306 - brainiak.fcma.voxelselector - INFO - in rank 1, task 214 takes 1.81 s
2023-03-29 20:28:03,110 - brainiak.fcma.voxelselector - INFO - in rank 1, task 215 takes 1.80 s
2023-03-29 20:28:04,915 - brainiak.fcma.voxelselector - INFO - in rank 1, task 216 takes 1.80 s
2023-03-29 20:28:06,719 - brainiak.fcma.voxelselector - INFO - in rank 1, task 217 takes 1.80 s
2023-03-29 20:28:08,541 - brainiak.fcma.voxelselector - INFO - in rank 1, task 218 takes 1.82 s
2023-03-29 20:28:10,348 - brainiak.fcma.voxelselector - INFO - in rank 1, task 219 takes 1.81 s
2023-03-29 20:28:12,154 - brainiak.fcma.voxelselector - INFO - in rank 1, task 220 takes 1.80 s
2023-03-29 20:28:13,976 - brainiak.fcma.voxelselector - INFO - in rank 1, task 221 takes 1.82 s
2023-03-29 20:28:15,781 - brainiak.fcma.voxelselector - INFO - in rank 1, task 222 takes 1.80 s
2023-03-29 20:28:17,589 - brainiak.fcma.voxelselector - INFO - in rank 1, task 223 takes 1.81 s
2023-03-29 20:28:19,414 - brainiak.fcma.voxelselector - INFO - in rank 1, task 224 takes 1.82 s
